listing_id,listing_url,name,description,picture_url,host_id,host_url,host_name,host_is_superhost,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,room_type,accommodates,price,has_availability,number_of_reviews,review_scores_rating,calculated_host_listings_count,good_review_rate,popularity_score
71609,https://www.airbnb.com/rooms/71609,Villa in Singapore · ★4.44 · 2 bedrooms · 3 beds · 1 private bath,"For 3 rooms.Book room 1&2 and room 4<br /><br /><b>The space</b><br />Landed Homestay Room for Rental. Between Simei and Expo Mrt. 2 bustop distance or 10-15min walking distant to Simei MRT.Bus n(phone number hidden).Clean and well maintain aircon room. We also provide Short and Long term room rental .Free 24 hrs Wireless Internet Access Available.<br />Rates are inclusive of utilities & wifi internet.<br />Both room can accomodate up to 6 max.<br />Complimentary:<br />Use of washer, iron with ironing board, hairdryer, towels, toiletries & change of bedding for extended stay. For use of Dryer additional charge of $10 will be imposed. Light cooking is allowed.Use of Gas<br />subject to cooking not for use of drying clothes or misuse will be charged at $10 per min<br /><br />Neighbourhood:<br />A residential area, with schools, shopping malls, sports facilities such as gym, basketball & badminton courts at Changi Simei CC.<br />Food Courts/Coffee Shop<br />At least 5 of them in the vicin",https://a0.muscache.com/pictures/24453191/35803acb_original.jpg,367042,https://www.airbnb.com/users/show/367042,Belinda,0,Tampines,East Region,1.34537,103.95887,0.25,3,139.0,t,20,4.44,5,85.0,40.9367515
71896,https://www.airbnb.com/rooms/71896,Home in Singapore · ★4.16 · 1 bedroom · 1 bed · Shared half-bath,"<b>The space</b><br />Vocational Stay Deluxe Bedroom in Singapore.(Near Airport) <br /> <br />Located Between  <br /> - Simei and Expo Mrt  <br /> - 2 bustop distance or 10-15min walking distant to Simei MRT. <br /> - Bus no 2,5,9,12,24 38. <br /> <br />Services provided <br /> - Daily Cleaning of Room <br /> - Free Usage of Ironing and Washing Machine (Detergent is not provided) <br /> - Laundry (Additional Charges) <br /> - Dryer (Additional Charges)  <br /> - Change of towels, toiletries & change of bedding for extended stay.  <br /> <br />Neighbourhood Consists of <br /> -A residential area <br /> -Neighbourhood Schools  <br /> -East Point Shopping Mall <br />-Changi City Point (Near Expo)  <br />-Tampines Business & Shopping District (Tampines Mall, Tampines 1 & Century Square) <br /> -Tampines Block 201, Housing Estate (Singaporean Cultural Spot) <br /> -Changi Simei Community Centre <br />   ~ Gym (S$3.50 per entry) <br />   ~ Badminton Court (S$3 per hour) <br /> -Neighbourhood",https://a0.muscache.com/pictures/2440674/ac4f4442_original.jpg,367042,https://www.airbnb.com/users/show/367042,Belinda,0,Tampines,East Region,1.34754,103.95958,0.25,1,70.0,t,24,4.16,5,95.83333333333334,45.78341716666667
71903,https://www.airbnb.com/rooms/71903,Home in Singapore · ★4.41 · 1 bedroom · 2 beds · Shared half-bath,"Like your own home, 24hrs access.<br /><br /><b>The space</b><br />Vocational Stay Deluxe Bedroom in Singapore.(Near Airport ,EXPO,SIA training centre)<br /><br />Located Between <br /> - Simei and Expo Mrt (changi business district park)<br /> - 2 bustop distance or 10-15min walking distant to Simei MRT.<br /> - Bus (phone number hidden)<br /><br />Services provided<br /> - Daily Cleaning of Room<br /> - Free Usage of Ironing and Washing Machine (Detergent is not provided)<br /> - Laundry (Additional Charges)<br /> - Dryer (Additional Charges) <br /> - Change of towels, toiletries & change of bedding for extended stay. <br /><br />Neighbourhood Consists of<br /> -A residential area<br /> -Neighbourhood Schools <br /> -East Point Shopping Mall<br /> -Tampines Business & Shopping District (Tampines Mall, Tampines 1 & Century Square)<br /> -Tampines Block 201, Housing Estate (Singaporean Cultural Spot)<br /> -Changi Simei Community Centre<br />   ~ Gym (S$3.50 per entry)<br />   ~ Badmin",https://a0.muscache.com/pictures/568743/7bc623e9_original.jpg,367042,https://www.airbnb.com/users/show/367042,Belinda,0,Tampines,East Region,1.34531,103.961,0.25,2,81.0,t,47,4.41,5,87.2340425531915,43.71942360638299
275343,https://www.airbnb.com/rooms/275343,Rental unit in Singapore · ★4.40 · 1 bedroom · 1 bed · 2 shared baths,"**IMPORTANT NOTES:  READ BEFORE YOU BOOK! <br />==Since this is an HDB Flat tourists are NOT ALLOWED unless having a VALID PASS like IPA Letter or TEP.<br /><br />Cozy, comfortable, well-renovated & fitted. Great guests, and a great environment!<br /><br />This is a shared apartment with several other flatmates.<br />We have 2 bathrooms and 2 toilets (separate) <br />10 min walk to Redhill MRT or take a bus direct from the bus terminal downstairs direct to Tiong Bahru MRT<br />Near Queensway, Alexandra, NUS, NUH.<br /><br /><b>The space</b><br />Centrally located between 2 MRT stations along the east-west green line (Redhill & Queenstown). Minutes to the city and to most suburban locations including NUS, SGH, and SMU. Most suitable for those on internships, exchange students, and working adults. <br /><br />Our home is a place safe for those traveling alone and far away from home. You have the opportunity to experience local living with our family and some international housemates. It ",https://a0.muscache.com/pictures/miso/Hosting-275343/original/0239b8f0-a116-4118-889c-41f23df6303d.jpeg,1439258,https://www.airbnb.com/users/show/1439258,Kay,0,Bukit Merah,Central Region,1.29015,103.80814,0.25,1,55.0,t,22,4.4,51,90.9090909090909,58.301750227272734
275344,https://www.airbnb.com/rooms/275344,Rental unit in Singapore · ★4.54 · 1 bedroom · 1 bed · 2.5 shared baths,"Lovely home for the special guest !<br /><br /><b>The space</b><br />Great Location, Great rooms, Great People!<br /><br />Please enquire if you require more than 1 room at the same time of your stay . <br /><br />Single rooms are all fully furnished with a single bed, clean linens, desk, wardrobe, air-conditioner. Approx. <br /><br />We will assign whichever room available at the point of check in <br /><br />Shared bathroom & toilet.<br /><br />Light cooking - kitchen with utensils provided.<br /><br />**MRT** <br />Queenstown (EW19) | 0.81 km <br />Redhill (EW18) | 0.89 km<br /><br />**SUPERMARKET**<br /><br />Cold Storage (Anchorpoint) | 0.43 km <br />NTUC Fairprice (Dawson Place) | 0.58 km<br /><br />**SHOPPING MALL**<br /><br />- QUEENSWAY SHOPPING CENTRE <br />- ANCHORPOINT <br />- IKEA <br />- TIONG BAHRU PLAZA <br />- DAWSON PLACE<br /><br />**LIFESTYLE**<br /><br />Telok Blangah Hill Park 1.15 km <br />Queenstown Stadium 1.26 km <br />The Southern Ridges 1.43 km <br />Hort Pa",https://a0.muscache.com/pictures/miso/Hosting-275344/original/7a846651-c2a7-4d8d-ba17-551a0eabc1c5.jpeg,1439258,https://www.airbnb.com/users/show/1439258,Kay,0,Bukit Merah,Central Region,1.28836,103.81144,0.25,1,69.0,t,15,4.54,51,93.33333333333331,58.87869216666666
289234,https://www.airbnb.com/rooms/289234,Home in Singapore · ★4.83 · 3 bedrooms · 5 beds · 3 baths,This whole place can accomodate 8 pax with own living hall. Max pax include children.<br />It is on the 1st floor.Free wifi To make booking more easy you can book 3 rooms at a click. This price booking is for 6 pax only.For Additional pax will be charged separately. <br />Please<br /><br /><b>The space</b><br />This whole place can accomodate 6  pax with own living hall.Max allow 8 pax including childrens<br />It is on the 1st floor. 2 rooms and ground floor 1 room.Free wifi To make booking more easy you can book 3 rooms at a click. This price booking is for 6 pax only.For Additional pax will be charged separately.<br />Please do not bring in more than <br />Pax including children..The listing consists 3 bedrooms and 1 family hall.Common kitchen is at ground level<br />Room are clean daily like a service apartment.<br />provided) <br />- Laundry (Additional Charges) <br />- Dryer (Additional Charges) at $10 per use<br />-.Use of Gas subject to cooking not for use of drying clothes or  ,https://a0.muscache.com/pictures/24395933/8e2f538f_original.jpg,367042,https://www.airbnb.com/users/show/367042,Belinda,0,Tampines,East Region,1.3449,103.95979,0.25,4,216.0,t,12,4.83,5,100.0,47.1127485
294281,https://www.airbnb.com/rooms/294281,Rental unit in Singapore · ★4.43 · 2 bedrooms · 1 bed · 1 shared bath,"I have 3 bedrooms  in a charming British style townhouse for you and your family while you are visiting Singapore . This is the GREEN ROOM .<br />https://www.airbnb.co.uk/rooms/294281 <br /> Be sure to look at the other 2 rooms .<br /><br />BURGUNDY ROOM(https://www.airbnb.co.uk/rooms/369141   )<br />BLUE ROOM (https://www.airbnb.co.uk/rooms/369145)<br /><br /><b>The space</b><br />A cosy spacious room with own patio/balcony  facing a nice park . A  charming British style townhouse <br />  <br />Amazing location in the heart of the City. You cannot get anywhere more convenient; ten minutes to all entertainment, shopping hub of the 'infamous' Orchard Road.   <br /><br />Five mins walking to gym,supermarket, banks  food places and restaurants<br /><br />Beauty of it all is that is it nestled in a very quiet street with a nice park surrounded by lots of greenery.<br />Fantastic newly renovated kitchen so if you enjoy cooking we can whip up a storm.<br /><br />Terms : Daily Rate @ AUS $68 ",https://a0.muscache.com/pictures/4607862/87f42d40_original.jpg,1521514,https://www.airbnb.com/users/show/1521514,Elizabeth,0,Newton,Central Region,1.31142,103.83924,0.25,2,85.0,t,133,4.43,7,92.4812030075188,52.75814016917294
324945,https://www.airbnb.com/rooms/324945,Rental unit in Singapore · ★3.62 · 1 bedroom · 1 bed · 2 shared baths,"**IMPORTANT NOTES:  READ BEFORE YOU BOOK! <br />==Since this is an HDB Flat tourists are NOT ALLOWED unless having a VALID PASS like IPA Letter or TEP.<br /><br />Cozy, comfortable, well-renovated & fitted. Great guests, great environment, and great host!<br /><br />This is a shared apartment with several other flatmates.<br />We have 2 bathrooms and 2 toilets (separate) <br /><br />10 min walk to Redhill MRT or take a bus direct from the bus terminal downstairs direct to Tiong Bahru MRT<br /><br />Near Queensway, Alexandra, NUS, NUH.<br /><br /><b>The space</b><br />Great Location, Great people, Great Host .  <br /><br />The 3 greatest statement in our home.<br /><br />My rooms are all kept to high standard & clean . We request the same standard to be achieved during departure and will welcome you back anytime you need it again.<br /><br />This room is furnished with single room and sleeps 1 person. <br /><br />You are welcome to use the kitchen, the living room and the laundry at any",https://a0.muscache.com/pictures/miso/Hosting-324945/original/a839a545-79a7-48a8-aa9c-519b36c14fdc.jpeg,1439258,https://www.airbnb.com/users/show/1439258,Kay,0,Bukit Merah,Central Region,1.28828,103.8102,0.25,1,55.0,t,17,3.62,51,82.35294117647058,54.167179852941175
330095,https://www.airbnb.com/rooms/330095,Rental unit in Singapore · ★4.50 · 1 bedroom · 1 bed · 2 shared baths,"**IMPORTANT NOTES:  READ BEFORE YOU BOOK! <br />==Since this is an HDB Flat tourists are NOT ALLOWED unless having a VALID PASS like IPA Letter or TEP.<br /><br />Cozy, comfortable, Orange no window room, well-renovated & fitted. Great guests, and a great environment!<br /><br />This is a shared apartment with several other flatmates.<br />We have 2 bathrooms and 2 toilets (separate). <br /><br />10 min walk to Redhill MRT or take a bus direct from the bus terminal downstairs direct to Tiong Bahru MRT Near Queensway, NUS, NUH.<br /><br /><b>Guest access</b><br />Finger print access door or code<br /><br /><b>Other things to note</b><br />Centrally located between 2 MRT stations along the east-west green line (Redhill & Queenstown). Minutes to the city and to most suburban locations including NUS, SGH, and SMU. Most suitable for those on internships, exchange students, and working adults. <br /><br />Our home is a place safe for those traveling alone and far away from home. You have the",https://a0.muscache.com/pictures/miso/Hosting-330095/original/0103187c-8676-4a49-b4bc-7dba0d44fb36.jpeg,1439258,https://www.airbnb.com/users/show/1439258,Kay,0,Bukit Merah,Central Region,1.28636,103.81138,0.25,1,49.0,t,5,4.5,51,80.0,52.27966550000001
369141,https://www.airbnb.com/rooms/369141,Place to stay in Singapore · ★4.43 · 1 bedroom · 1 bed · 1 bath,"A room in a charming British style townhouse for you and your family while you are visiting Singapore .<br /><br /><b>The space</b><br />A cosy spacious room  Facing a nice park in a charming British style townhouse to share with a professional. In spite of being in the heart of the city, the beauty of it all is that is it nestled in a very quiet street with a nice park surrounded by lots of greenery as you can see in the photos<br /><br /><b>Other things to note</b><br />I will give you tips on where to go and food you must try",https://a0.muscache.com/pictures/21784952/12aacf76_original.jpg,1521514,https://www.airbnb.com/users/show/1521514,Elizabeth,0,Newton,Central Region,1.31144,103.83784,0.25,2,79.0,t,81,4.43,7,100.0,52.4080005
