listing_id,summary
71609,the  place  was  beautiful  and  calm. the  maids  were  helpful  too.
71896,belinda  is a  kind  host who  certainly  tries  to  accommodate  your  needs. her place  was  very  pleasant  and  well-worth the  money.
71903,"i  stayed  at  Belinda's  place  for  4  nights  during  my  vacation.  The  surrounding  area  is  a  quiet,  peaceful  residential  area."
275343, The  reservation  was  canceled  3  days  before  arrival.  i  am  so  glad  that  i  chose  the  place.
275344,"if  i could rate  my  experience  here more  than  5  stars,  I  would  do  it  for  sure.  Joyce  and  David  are  very  gracious,  accommodating  hosts,  and overall  very  good  people."
289234," the location  is  ideal.  you  are  at  the train  station  in  5  minutes.  the station  is  next  to east  mall,  which  has  a  Starbucks,  bread  sticks  and  burger  king  among  afew  fast food  chains.  it  cost  me"
294281,"Elizabeth's  house  is  located  in  a  quiet  area,  though  close  to the  city  center."
324945,"despite  the  number  of  people, it  never felt  crowded. despite  the  number  of  people, it  never felt  crowded."
330095,the  reservation was  canceled  the  day  before  arrival. the  place  is  really  nice  and  I  can  say  I have  new  friends  now.
369141,Elizabeth  is  a  lovely  lady  with  a  cute  house  in  one  of  the  most  convenient  locations  in  Singapore.  public transport  is  also within  short  walking  distance.  thanks  for  being  a  great  host  and  making  my  holiday so  enjoyable
369145, Elizabeth  is  a  great  networker  and  introduced  me  to lots  of  her  friends.
395191,Adi  is  a  great  guy  and  fantastic  host. he was  very  help  every  time  i  needed  advice  on  how  to  get  somewhere. he's  a  great  host  knowing  what counts  when  you're not  so  familiar  with  the  city
468782,jerome's  family  is  very  warm  to  me. it  was  a  lovely experience  to  stay  with  a  Singaporian  family.
606784,"happy  is  a  very  good  homeowner,  she is  happy  to  help  every  detail,  a  very  pleasant  accommodator.  the apartment was  very  clean  and  neat."
654191," this  place  is  close  to  City  Square  Mall,  so  it's  convenient  for  shopping.  this  place  is  clean  and  simple,  so  it  may be  good  for  single  guest."
696136," it was  my  first  AirBnB experience  and  it was  great .  it was  a  perfect  base  while  in  Singapore,  not  far  from the local  train station  (MRT)"
747813," my  co-worker  and  I  enjoyed  our  stay  at  their  apartment.  he was consistently  courteous,  neat,  and  respectful  of  my  personal  space."
747816," Paul  was  a  great  host,  very  welcoming  and  hospitable  throughout  my  stay.  Everything  was  clean  and it was  located  close  to  shopping  and  restaurants."
756267," this  was  my  second  stay  at  Rabbit,  Carrot,  Gun  and it was  definately  as  enjoyable  as  the  first.  I've  now  stayed  here  four  times  and  will continue  to  go  in  the  future."
765579, it was  very  well  located  whether  for  the  night  destinations  or  to the  universities.  Generally  a  good  place  if  you need  to  stay  in  the  heart  of  the  city.
815685, I  stayed  with  Joyce  and  her  family  for  3  weeks.  They  are  the  most  gracious  and  warm  family  you  can find  in  Singapore.
819034," Rabbit  Carrot  Gun,  from  the  caf  downstairs  to  your  own  private  door,  the  Imperial  Suite.  Huge  bed,  antique  furniture  and  windows  that  open!  I might  never  go  back  to the  blandness  of  western  hotels."
819044,Kubric  Suite  is  an  oasis  in  the  heart  of  Singapore. it blends  an  eclectic  character  with  whimsical  flair.  Richard  and  Trisha  were  incredible  hosts.
833289,"Laura  was  very  accommodating,  with  my  very  early  morning  arrival.  she  always  made  me  feel  comfortable."
863139,very  friendly  and  easy  to  contact.  every  thing  is  ok.
881253,the apartment is on the 31st floor and you can see  Singapore  from  high. the  price  is  very  good  price  for the  place  and  position.
915275, There  is  a  park  and  a  mall  just  in  front  of the  apartment.  The  wall  is  not  soundproof.  The  bed  needs  changing.
944287,i  stayed  at  sam's  place  for  2days.  i  feel  comfortable  with  my  room.  i  will  go back  to their  place if  i had  a  chance  again.
962594,the host is very  accommodating  and  nice.
982909, Yuan  was  a  really  great  host  and her  apartment  was  really  spacious  and  clean.  the  pictures  are  accurate  representations  of  the  apartment  and  it was  easy  to  get  around  from  her  place.
1024986," I  really enjoyed  3  weeks  in  Taffy's  beautiful  apartment.  it is  spacious,  clean  and  comfortable,  in  a  great  location."
1160252," I  really enjoyed  staying  with  this  awesome  family  at  their  wonderful  house  in  the  beautiful  Serangoon  Gardens,  they  were  all  very  friendly  and  made  me  feel  right  at  home."
1261443,cbd  is  amazing! it's  the  chinatown  MRT  itself!  Plenty  of  cheap  and  international  food  from  little  food  stalls  and  restaurants.
1363204,i stayed  there  for  1  month  and  didn't  have any  problem  or  something  keave  answer  very  quickly.
1495386, the  house  is  located  in  a  residential  and  very  quiet  area.
1508829,the  reservation  was canceled  the  day  before  arrival. the  host canceled  this  reservation  the  day  before  arrival.
1615074," my  rent  was  a  little  pricey  compared  with competing  renters  in  the  area.  the  cost  performance  is  relatively  high,  but  if the  sanitary  conditions  are  particularly  high, it  is necessary  to be  cautious."
1654840,the hotel is very close to the marina and to the airport. the bed is inconvenient.
1678744,"stayed  at  the  wink  hostel on  my  first  visit  to  Singapore. the hostel is  very  well  organised,  the  rooms/bed  and the  bathrooms  are  very  clean."
1678754,Wink  is  perfectly  located  and  the  pods  are  very  comfortable  and  have  a  socket  each.
1678755,the hostel is located in the heart of hong kong's famous chinatown. it's a short walk from the famous bakwa bakwa bakwa. the hostel is a great choice for expats.
